!
! Model atmospheres, synthetic spectra and photometry
! Baraffe, Homeier, Allard, Chabrier 2015, accepted by A&A:
! "New evolutionary models for pre-main sequence and main sequence low-mass stars down to the hydrogen-burning limit"
!
! Isochrones of the models from:
!
! Chabrier, Baraffe, Allard, Hauschildt, 2000, ApJ 542, 464
! "Evolutionary models for very-low-mass stars and brown dwarfs with dusty atmospheres"
! Baraffe, Chabrier, Allard, Hauschildt, 2002, A&A 382, 563
! "Evolutionary models for low-mass stars and brown dwarfs: uncertainties and limits at very young ages"
!
! logL: log L/Lsun
! radius : R/Rsun
! Li_Li0: ratio of photospheric lithium abundance to initial abundance
!
! photospheric magnitudes for SPHERE_IRDIS filter transmissions from Nov. 2014 (A. Vigan, priv. comm.)
! + atmospheric transmission for Paranal at 3.0mm H2O, airmass=2.0 from VISTA calibration
!
!Teff log g [M/H]  R/Rs D[pc] B_Y     B_J     B_H     B_Ks    B_ND-H  D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2    N_BrG   N_CO    N_CntH  N_CntJ  N_CntK1 N_CntK2 N_FeII  N_H2    N_HeI   N_PaB    J-H    H-Ks  (SPHERE IRDIS)
!  absolute magnitudes for isochronal radii
!


!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!  t (Gyr) =   0.001
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!    mass     Teff    logL   logg  radius  Li_Li0     B_Y     B_J     B_H    B_Ks  B_ND-H    D_Y2    D_Y3    D_J2    D_J3    D_H2    D_H3    D_H4    D_K1    D_K2   N_BrG    N_CO  N_CntH  N_CntJ  N_CntK1  N_CntK2  N_FeII    N_H2   N_HeI   N_PaB 
  0.0010    942.0  -4.720  3.000   0.166   1.000  15.445  14.662  13.801  13.685  13.791  15.519  15.086  15.236  14.047  13.469  13.356  13.950  13.415  13.973  13.355  14.245  13.654  14.614   13.452   14.029  13.261  13.347  15.013  14.015 
  0.0020   1285.0  -4.140  3.260   0.174   1.000  14.937  13.908  12.508  11.486  12.500  15.059  14.681  14.140  13.615  12.434  12.249  12.285  11.523  11.374  11.326  11.440  12.535  13.926   11.593   11.340  12.276  11.458  14.619  13.543 
  0.0030   1553.0  -3.750  3.370   0.187   1.000  15.178  13.846  12.265  10.970  12.258  15.338  14.924  14.211  13.572  12.355  12.045  11.945  11.121  10.806  10.924  10.757  12.444  14.017   11.181   10.764  12.130  11.088  14.780  13.462 
  0.0040   1747.0  -3.480  3.440   0.200   1.000  13.754  12.268  11.030  10.072  11.020  13.876  13.494  12.881  11.863  11.113  10.596  10.758  10.273   9.847   9.980   9.832  11.287  12.463   10.378    9.791  10.717  10.214  13.156  11.731 
  0.0050   1901.0  -3.270  3.470   0.215   1.000  12.250  11.066  10.286   9.581  10.276  12.314  12.025  11.600  10.692  10.326   9.839  10.065   9.788   9.344   9.474   9.337  10.503  11.181    9.906    9.287   9.946   9.719  11.649  10.573 
  0.0060   2004.0  -3.130  3.500   0.228   1.000  11.734  10.627   9.922   9.262   9.913  11.811  11.501  11.080  10.289   9.953   9.497   9.708   9.470   9.026   9.160   9.014  10.118  10.712    9.585    8.969   9.597   9.402  11.154  10.175 
  0.0070   2098.0  -3.000  3.510   0.242   1.000  11.105  10.150   9.573   8.986   9.564  11.165  10.891  10.536   9.846   9.592   9.172   9.376   9.184   8.760   8.887   8.747   9.744  10.213    9.292    8.705   9.264   9.120  10.573   9.739 
  0.0080   2159.0  -2.890  3.520   0.258   1.000  10.734   9.840   9.288   8.731   9.279  10.797  10.525  10.173   9.560   9.301   8.912   9.098   8.920   8.513   8.635   8.497   9.440   9.891    9.022    8.460   8.998   8.859  10.237   9.458 
  0.0100   2240.0  -2.820  3.600   0.261   1.000  10.451   9.619   9.093   8.575   9.085  10.526  10.242   9.898   9.368   9.103   8.743   8.914   8.753   8.367   8.485   8.351   9.229   9.660    8.847    8.316   8.823   8.697   9.994   9.269 
  0.0120   2337.0  -2.690  3.630   0.278   1.000  10.056   9.288   8.784   8.302   8.777  10.134   9.853   9.523   9.061   8.791   8.462   8.614   8.471   8.106   8.218   8.086   8.906   9.322    8.558    8.056   8.535   8.420   9.642   8.968 
  0.0150   2450.0  -2.520  3.630   0.309   1.000   9.573   8.873   8.385   7.936   8.379   9.656   9.377   9.066   8.671   8.393   8.096   8.224   8.092   7.755   7.863   7.732   8.494   8.904    8.167    7.708   8.164   8.049   9.206   8.583 
  0.0200   2544.0  -2.480  3.790   0.297   1.000   9.470   8.811   8.318   7.900   8.312   9.555   9.283   8.979   8.627   8.322   8.052   8.167   8.045   7.730   7.829   7.708   8.413   8.840    8.114    7.685   8.114   8.005   9.139   8.542 
  0.0300   2703.0  -2.130  3.720   0.398   1.000   8.545   7.947   7.453   7.076   7.448   8.629   8.368   8.083   7.787   7.460   7.220   7.311   7.211   6.923   7.018   6.896   7.539   7.977    7.269    6.880   7.276   7.180   8.265   7.708 
  0.0400   2792.0  -1.920  3.690   0.475   1.000   8.013   7.441   6.937   6.588   6.932   8.095   7.845   7.566   7.290   6.945   6.716   6.800   6.717   6.441   6.534   6.413   7.019   7.472    6.772    6.399   6.769   6.690   7.754   7.215 
